Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision,Referee,Descripcion
Gimnasia,Estudiantes,2024-11-24,Nuevo Gasómetro,Mano,60',Sí,Amarilla,Rapallini,mano entre Gimnasia y Estudiantes al minuto 60'
Arsenal,Platense,2024-07-22,Nuevo Gasómetro,Simulación,51',Sí,No gol,Espinoza,simulación entre Arsenal y Platense al minuto 51'
Independiente,Arsenal,2024-07-20,Nuevo Gasómetro,Entrada violenta,0',Sí,Tiro libre,Baliño,entrada violenta entre Independiente y Arsenal al minuto 0'
Lanús,Rosario Central,2024-09-04,Libertadores de América,Simulación,87',Sí,Penal,Echenique,simulación entre Lanús y Rosario Central al minuto 87'
San Lorenzo,Platense,2024-10-15,Libertadores de América,Sujeción,18',Sí,Tiro libre,Pitana,sujeción entre San Lorenzo y Platense al minuto 18'
Newell's,Argentinos,2024-10-24,Cilindro,Entrada violenta,51',Sí,No gol,Pitana,entrada violenta entre Newell's y Argentinos al minuto 51'
Gimnasia,Vélez,2024-09-23,La Bombonera,Entrada violenta,65',Sí,No gol,Loustau,entrada violenta entre Gimnasia y Vélez al minuto 65'
Newell's,Colón,2024-06-16,La Bombonera,Córner,72',Sí,No gol,Echenique,córner entre Newell's y Colón al minuto 72'
Huracán,Independiente,2024-10-10,Libertadores de América,Falta,86',Sí,No gol,Merlos,falta entre Huracán y Independiente al minuto 86'
Independiente,Arsenal,2024-03-13,Monumental,Codazo,36',Sí,Tiro libre,Pitana,codazo entre Independiente y Arsenal al minuto 36'
Vélez,San Lorenzo,2024-03-27,Cilindro,Codazo,17',Sí,Penal,Tello,codazo entre Vélez y San Lorenzo al minuto 17'
Banfield,Independiente,2024-06-06,Nuevo Gasómetro,Córner,79',Sí,Gol,Echenique,córner entre Banfield y Independiente al minuto 79'
Talleres,Boca Juniors,2024-05-04,La Bombonera,Córner,84',Sí,Tiro libre,Rapallini,córner entre Talleres y Boca Juniors al minuto 84'
Racing,Boca Juniors,2024-01-23,Cilindro,Simulación,52',Sí,Sin falta,Loustau,simulación entre Racing y Boca Juniors al minuto 52'
Boca Juniors,Lanús,2024-11-27,Monumental,Entrada violenta,46',Sí,Gol,Merlos,entrada violenta entre Boca Juniors y Lanús al minuto 46'
Platense,Godoy Cruz,2024-05-27,Monumental,Entrada violenta,5',Sí,Amarilla,Espinoza,entrada violenta entre Platense y Godoy Cruz al minuto 5'
Colón,Lanús,2024-09-27,Monumental,Falta,54',Sí,Penal,Dovalo,falta entre Colón y Lanús al minuto 54'
Boca Juniors,Newell's,2024-03-15,Monumental,Sujeción,47',Sí,Tiro libre,Loustau,sujeción entre Boca Juniors y Newell's al minuto 47'
Platense,Rosario Central,2024-03-25,Cilindro,Córner,1',Sí,No gol,Rapallini,córner entre Platense y Rosario Central al minuto 1'
Vélez,Boca Juniors,2024-05-20,Nuevo Gasómetro,Codazo,2',Sí,Sin falta,Echenique,codazo entre Vélez y Boca Juniors al minuto 2'
Boca Juniors,Vélez,2024-06-16,Cilindro,Mano,5',Sí,Tiro libre,Echenique,mano entre Boca Juniors y Vélez al minuto 5'
Platense,San Lorenzo,2024-12-15,La Bombonera,Codazo,53',Sí,No gol,Echenique,codazo entre Platense y San Lorenzo al minuto 53'
Banfield,Godoy Cruz,2024-06-27,La Bombonera,Sujeción,65',Sí,Sin falta,Dovalo,sujeción entre Banfield y Godoy Cruz al minuto 65'
Newell's,Sarmiento,2024-07-02,Nuevo Gasómetro,Penal,41',Sí,Roja,Abal,penal entre Newell's y Sarmiento al minuto 41'
Argentinos,Rosario Central,2024-09-21,Libertadores de América,Gol,57',Sí,Amarilla,Loustau,gol entre Argentinos y Rosario Central al minuto 57'
Newell's,Argentinos,2024-12-26,La Bombonera,Penal,80',Sí,No gol,Baliño,penal entre Newell's y Argentinos al minuto 80'
River Plate,Estudiantes,2024-02-18,La Bombonera,Simulación,39',Sí,Amarilla,Espinoza,simulación entre River Plate y Estudiantes al minuto 39'
Racing,Huracán,2024-08-24,Monumental,Offside,2',Sí,Roja,Baliño,offside entre Racing y Huracán al minuto 2'
San Lorenzo,Arsenal,2024-06-10,Libertadores de América,Falta,36',Sí,Gol,Tello,falta entre San Lorenzo y Arsenal al minuto 36'
Newell's,Colón,2024-11-07,Libertadores de América,Córner,16',Sí,Tiro libre,Loustau,córner entre Newell's y Colón al minuto 16'
Racing,Argentinos,2024-04-17,Cilindro,Entrada violenta,58',Sí,Roja,Dovalo,entrada violenta entre Racing y Argentinos al minuto 58'
Newell's,Sarmiento,2024-08-22,Monumental,Falta,10',Sí,Penal,Echenique,falta entre Newell's y Sarmiento al minuto 10'
Colón,Boca Juniors,2024-07-16,La Bombonera,Sujeción,44',Sí,Gol,Dovalo,sujeción entre Colón y Boca Juniors al minuto 44'
Banfield,Sarmiento,2024-07-04,Libertadores de América,Offside,89',Sí,Penal,Baliño,offside entre Banfield y Sarmiento al minuto 89'
River Plate,Arsenal,2024-01-19,La Bombonera,Córner,60',Sí,Penal,Tello,córner entre River Plate y Arsenal al minuto 60'
San Lorenzo,River Plate,2024-03-05,La Bombonera,Gol,65',Sí,Gol,Merlos,gol entre San Lorenzo y River Plate al minuto 65'
Vélez,Godoy Cruz,2024-03-10,Monumental,Penal,7',Sí,Gol,Dovalo,penal entre Vélez y Godoy Cruz al minuto 7'
Lanús,Talleres,2024-06-06,Libertadores de América,Codazo,84',Sí,Roja,Abal,codazo entre Lanús y Talleres al minuto 84'
Talleres,Boca Juniors,2024-09-01,Nuevo Gasómetro,Simulación,62',Sí,Roja,Loustau,simulación entre Talleres y Boca Juniors al minuto 62'
Boca Juniors,Platense,2024-12-08,Cilindro,Gol,17',Sí,Tiro libre,Merlos,gol entre Boca Juniors y Platense al minuto 17'
Banfield,Talleres,2024-04-02,Nuevo Gasómetro,Falta,56',Sí,Sin falta,Abal,falta entre Banfield y Talleres al minuto 56'
San Lorenzo,Vélez,2024-07-03,Nuevo Gasómetro,Codazo,10',Sí,Amarilla,Baliño,codazo entre San Lorenzo y Vélez al minuto 10'
River Plate,Argentinos,2024-03-28,Monumental,Sujeción,50',Sí,Gol,Tello,sujeción entre River Plate y Argentinos al minuto 50'
Estudiantes,Independiente,2024-09-20,Nuevo Gasómetro,Entrada violenta,38',Sí,Amarilla,Loustau,entrada violenta entre Estudiantes y Independiente al minuto 38'
Estudiantes,Independiente,2024-05-09,La Bombonera,Mano,58',Sí,Tiro libre,Loustau,mano entre Estudiantes y Independiente al minuto 58'
Vélez,Banfield,2024-06-14,Monumental,Simulación,54',Sí,Penal,Abal,simulación entre Vélez y Banfield al minuto 54'
Godoy Cruz,Independiente,2024-05-18,Monumental,Córner,3',Sí,Roja,Loustau,córner entre Godoy Cruz y Independiente al minuto 3'
Godoy Cruz,Lanús,2024-06-01,Nuevo Gasómetro,Gol,14',Sí,Penal,Merlos,gol entre Godoy Cruz y Lanús al minuto 14'
Rosario Central,Talleres,2024-04-21,La Bombonera,Penal,15',Sí,Sin falta,Echenique,penal entre Rosario Central y Talleres al minuto 15'
Newell's,Estudiantes,2024-08-02,Libertadores de América,Codazo,48',Sí,Penal,Abal,codazo entre Newell's y Estudiantes al minuto 48'
Lanús,San Lorenzo,2024-08-17,Libertadores de América,Penal,62',Sí,Tiro libre,Loustau,penal entre Lanús y San Lorenzo al minuto 62'
River Plate,Gimnasia,2024-06-20,Monumental,Simulación,20',Sí,Roja,Pitana,simulación entre River Plate y Gimnasia al minuto 20'
Vélez,Godoy Cruz,2024-09-19,Cilindro,Offside,34',Sí,No gol,Echenique,offside entre Vélez y Godoy Cruz al minuto 34'
Rosario Central,Gimnasia,2024-02-13,Cilindro,Offside,77',Sí,Gol,Echenique,offside entre Rosario Central y Gimnasia al minuto 77'
Racing,River Plate,2024-12-21,Libertadores de América,Córner,55',Sí,Roja,Abal,córner entre Racing y River Plate al minuto 55'
Estudiantes,Godoy Cruz,2024-06-08,Nuevo Gasómetro,Entrada violenta,8',Sí,Sin falta,Pitana,entrada violenta entre Estudiantes y Godoy Cruz al minuto 8'
Racing,Godoy Cruz,2024-03-18,Nuevo Gasómetro,Penal,73',Sí,Sin falta,Loustau,penal entre Racing y Godoy Cruz al minuto 73'
Independiente,Colón,2024-06-08,La Bombonera,Codazo,82',Sí,No gol,Baliño,codazo entre Independiente y Colón al minuto 82'
Platense,Racing,2024-12-24,La Bombonera,Mano,13',Sí,Roja,Baliño,mano entre Platense y Racing al minuto 13'
Vélez,Huracán,2024-12-13,Cilindro,Gol,59',Sí,Tiro libre,Pitana,gol entre Vélez y Huracán al minuto 59'
Huracán,Boca Juniors,2024-07-27,Cilindro,Entrada violenta,35',Sí,Amarilla,Espinoza,entrada violenta entre Huracán y Boca Juniors al minuto 35'
Vélez,Banfield,2024-09-23,Libertadores de América,Córner,63',Sí,Gol,Pitana,córner entre Vélez y Banfield al minuto 63'
Argentinos,Gimnasia,2024-05-04,Cilindro,Córner,87',Sí,No gol,Echenique,córner entre Argentinos y Gimnasia al minuto 87'
Gimnasia,Talleres,2024-11-04,La Bombonera,Mano,55',Sí,Sin falta,Dovalo,mano entre Gimnasia y Talleres al minuto 55'
Vélez,Huracán,2024-09-21,Monumental,Entrada violenta,24',Sí,Gol,Dovalo,entrada violenta entre Vélez y Huracán al minuto 24'
River Plate,Lanús,2024-02-13,Monumental,Córner,50',Sí,Tiro libre,Baliño,córner entre River Plate y Lanús al minuto 50'
Boca Juniors,Platense,2024-11-11,Nuevo Gasómetro,Simulación,75',Sí,Tiro libre,Echenique,simulación entre Boca Juniors y Platense al minuto 75'
Gimnasia,Racing,2024-05-19,Nuevo Gasómetro,Córner,45',Sí,No gol,Dovalo,córner entre Gimnasia y Racing al minuto 45'
Platense,Newell's,2024-03-21,Nuevo Gasómetro,Falta,86',Sí,Amarilla,Echenique,falta entre Platense y Newell's al minuto 86'
Newell's,Lanús,2024-05-28,Nuevo Gasómetro,Simulación,6',Sí,Amarilla,Echenique,simulación entre Newell's y Lanús al minuto 6'
Huracán,San Lorenzo,2024-01-11,Nuevo Gasómetro,Penal,66',Sí,Roja,Tello,penal entre Huracán y San Lorenzo al minuto 66'
Arsenal,Talleres,2024-12-15,Libertadores de América,Simulación,85',Sí,No gol,Tello,simulación entre Arsenal y Talleres al minuto 85'
Boca Juniors,Platense,2024-11-19,La Bombonera,Gol,39',Sí,Sin falta,Loustau,gol entre Boca Juniors y Platense al minuto 39'
Lanús,Godoy Cruz,2024-11-24,Cilindro,Penal,58',Sí,Penal,Abal,penal entre Lanús y Godoy Cruz al minuto 58'
San Lorenzo,Huracán,2024-12-15,La Bombonera,Offside,6',Sí,Sin falta,Loustau,offside entre San Lorenzo y Huracán al minuto 6'
Colón,Gimnasia,2024-01-18,La Bombonera,Mano,73',Sí,Sin falta,Tello,mano entre Colón y Gimnasia al minuto 73'
Newell's,River Plate,2024-07-26,Monumental,Córner,6',Sí,Sin falta,Espinoza,córner entre Newell's y River Plate al minuto 6'
Newell's,Godoy Cruz,2024-03-24,Monumental,Gol,53',Sí,Sin falta,Espinoza,gol entre Newell's y Godoy Cruz al minuto 53'
Godoy Cruz,Huracán,2024-10-05,La Bombonera,Gol,50',Sí,Tiro libre,Espinoza,gol entre Godoy Cruz y Huracán al minuto 50'
Boca Juniors,Newell's,2024-05-12,Monumental,Gol,46',Sí,Tiro libre,Loustau,gol entre Boca Juniors y Newell's al minuto 46'
Platense,Sarmiento,2024-11-24,Monumental,Córner,20',Sí,Gol,Pitana,córner entre Platense y Sarmiento al minuto 20'
Banfield,River Plate,2024-01-13,Libertadores de América,Mano,87',Sí,Penal,Rapallini,mano entre Banfield y River Plate al minuto 87'
Banfield,Platense,2024-03-04,La Bombonera,Falta,59',Sí,Roja,Baliño,falta entre Banfield y Platense al minuto 59'
Argentinos,Rosario Central,2024-10-25,Libertadores de América,Offside,49',Sí,Sin falta,Loustau,offside entre Argentinos y Rosario Central al minuto 49'
Boca Juniors,Rosario Central,2024-05-06,Monumental,Mano,76',Sí,No gol,Merlos,mano entre Boca Juniors y Rosario Central al minuto 76'
Huracán,Racing,2024-01-16,Cilindro,Falta,8',Sí,Sin falta,Dovalo,falta entre Huracán y Racing al minuto 8'
River Plate,Talleres,2024-02-16,La Bombonera,Penal,45',Sí,Penal,Rapallini,penal entre River Plate y Talleres al minuto 45'
Platense,Rosario Central,2024-07-04,Nuevo Gasómetro,Gol,9',Sí,No gol,Baliño,gol entre Platense y Rosario Central al minuto 9'
San Lorenzo,Godoy Cruz,2024-10-27,Nuevo Gasómetro,Offside,37',Sí,Sin falta,Rapallini,offside entre San Lorenzo y Godoy Cruz al minuto 37'
Estudiantes,Boca Juniors,2024-06-16,Nuevo Gasómetro,Penal,59',Sí,Gol,Merlos,penal entre Estudiantes y Boca Juniors al minuto 59'
Colón,Rosario Central,2024-10-17,Libertadores de América,Offside,34',Sí,No gol,Merlos,offside entre Colón y Rosario Central al minuto 34'
Rosario Central,San Lorenzo,2024-01-12,Monumental,Falta,31',Sí,Penal,Espinoza,falta entre Rosario Central y San Lorenzo al minuto 31'
San Lorenzo,Banfield,2024-10-17,Libertadores de América,Entrada violenta,29',Sí,No gol,Tello,entrada violenta entre San Lorenzo y Banfield al minuto 29'
Argentinos,Sarmiento,2024-03-09,Monumental,Codazo,57',Sí,Gol,Merlos,codazo entre Argentinos y Sarmiento al minuto 57'
San Lorenzo,Vélez,2024-06-08,Monumental,Sujeción,16',Sí,Roja,Espinoza,sujeción entre San Lorenzo y Vélez al minuto 16'
Huracán,Independiente,2024-05-26,Monumental,Codazo,59',Sí,Amarilla,Loustau,codazo entre Huracán y Independiente al minuto 59'
Rosario Central,Arsenal,2024-09-14,Monumental,Offside,42',Sí,Tiro libre,Merlos,offside entre Rosario Central y Arsenal al minuto 42'
Newell's,Boca Juniors,2024-09-02,Cilindro,Codazo,57',Sí,Tiro libre,Loustau,codazo entre Newell's y Boca Juniors al minuto 57'
Sarmiento,Argentinos,2024-05-20,Nuevo Gasómetro,Gol,88',Sí,Amarilla,Dovalo,gol entre Sarmiento y Argentinos al minuto 88'
Estudiantes,Sarmiento,2024-06-03,La Bombonera,Penal,71',Sí,Penal,Loustau,penal entre Estudiantes y Sarmiento al minuto 71'
River Plate,Rosario Central,2024-08-08,Libertadores de América,Offside,20',Sí,Gol,Merlos,offside entre River Plate y Rosario Central al minuto 20'
Arsenal,Talleres,2024-02-25,Nuevo Gasómetro,Codazo,82',Sí,Gol,Merlos,codazo entre Arsenal y Talleres al minuto 82'
Argentinos,Lanús,2024-01-02,Libertadores de América,Sujeción,64',Sí,Gol,Espinoza,sujeción entre Argentinos y Lanús al minuto 64'
Vélez,Colón,2024-07-21,Libertadores de América,Codazo,42',Sí,No gol,Echenique,codazo entre Vélez y Colón al minuto 42'
Rosario Central,River Plate,2024-11-15,Monumental,Simulación,58',Sí,No gol,Merlos,simulación entre Rosario Central y River Plate al minuto 58'
Arsenal,Huracán,2024-07-08,La Bombonera,Codazo,90',Sí,Roja,Echenique,codazo entre Arsenal y Huracán al minuto 90'
Estudiantes,Argentinos,2024-12-19,Nuevo Gasómetro,Córner,35',Sí,Gol,Espinoza,córner entre Estudiantes y Argentinos al minuto 35'
Rosario Central,Racing,2024-07-27,Cilindro,Mano,35',Sí,Amarilla,Espinoza,mano entre Rosario Central y Racing al minuto 35'
Lanús,Argentinos,2024-08-20,Libertadores de América,Penal,84',Sí,Roja,Dovalo,penal entre Lanús y Argentinos al minuto 84'
Banfield,Lanús,2024-05-09,Monumental,Codazo,19',Sí,Penal,Echenique,codazo entre Banfield y Lanús al minuto 19'
Lanús,Vélez,2024-07-19,Nuevo Gasómetro,Offside,64',Sí,Sin falta,Tello,offside entre Lanús y Vélez al minuto 64'
Godoy Cruz,Estudiantes,2024-12-19,La Bombonera,Offside,21',Sí,Amarilla,Tello,offside entre Godoy Cruz y Estudiantes al minuto 21'
San Lorenzo,Boca Juniors,2024-06-01,La Bombonera,Codazo,28',Sí,Sin falta,Baliño,codazo entre San Lorenzo y Boca Juniors al minuto 28'
Lanús,Rosario Central,2024-06-01,Cilindro,Sujeción,18',Sí,Gol,Echenique,sujeción entre Lanús y Rosario Central al minuto 18'
River Plate,Independiente,2024-09-19,Cilindro,Falta,46',Sí,Amarilla,Merlos,falta entre River Plate y Independiente al minuto 46'
Godoy Cruz,Newell's,2024-10-18,Libertadores de América,Penal,18',Sí,Gol,Abal,penal entre Godoy Cruz y Newell's al minuto 18'
Godoy Cruz,Argentinos,2024-08-04,Monumental,Córner,53',Sí,Roja,Baliño,córner entre Godoy Cruz y Argentinos al minuto 53'
San Lorenzo,Sarmiento,2024-09-20,Monumental,Penal,68',Sí,No gol,Loustau,penal entre San Lorenzo y Sarmiento al minuto 68'
Estudiantes,Lanús,2024-02-22,Libertadores de América,Sujeción,65',Sí,Gol,Echenique,sujeción entre Estudiantes y Lanús al minuto 65'
Colón,Arsenal,2024-11-20,Nuevo Gasómetro,Córner,78',Sí,Gol,Echenique,córner entre Colón y Arsenal al minuto 78'
Banfield,Lanús,2024-01-07,La Bombonera,Penal,4',Sí,Gol,Rapallini,penal entre Banfield y Lanús al minuto 4'
Sarmiento,Talleres,2024-11-15,La Bombonera,Córner,63',Sí,Tiro libre,Pitana,córner entre Sarmiento y Talleres al minuto 63'
Independiente,Boca Juniors,2024-05-19,La Bombonera,Sujeción,84',Sí,Gol,Espinoza,sujeción entre Independiente y Boca Juniors al minuto 84'
Huracán,San Lorenzo,2024-02-07,La Bombonera,Gol,75',Sí,Penal,Rapallini,gol entre Huracán y San Lorenzo al minuto 75'
San Lorenzo,Colón,2024-06-07,Cilindro,Gol,35',Sí,Penal,Espinoza,gol entre San Lorenzo y Colón al minuto 35'
Vélez,Newell's,2024-06-15,Nuevo Gasómetro,Offside,10',Sí,Penal,Pitana,offside entre Vélez y Newell's al minuto 10'
Gimnasia,Arsenal,2024-03-17,Monumental,Falta,76',Sí,Gol,Dovalo,falta entre Gimnasia y Arsenal al minuto 76'
Newell's,Boca Juniors,2024-08-02,La Bombonera,Córner,3',Sí,Penal,Merlos,córner entre Newell's y Boca Juniors al minuto 3'
Colón,Banfield,2024-05-09,Nuevo Gasómetro,Falta,68',Sí,Tiro libre,Echenique,falta entre Colón y Banfield al minuto 68'
Gimnasia,Boca Juniors,2024-09-25,La Bombonera,Sujeción,15',Sí,Roja,Loustau,sujeción entre Gimnasia y Boca Juniors al minuto 15'
San Lorenzo,Boca Juniors,2024-01-18,Cilindro,Simulación,44',Sí,Roja,Pitana,simulación entre San Lorenzo y Boca Juniors al minuto 44'
Racing,Independiente,2024-02-13,Monumental,Mano,80',Sí,Sin falta,Tello,mano entre Racing y Independiente al minuto 80'
Godoy Cruz,Sarmiento,2024-10-26,Nuevo Gasómetro,Falta,73',Sí,Amarilla,Rapallini,falta entre Godoy Cruz y Sarmiento al minuto 73'
Estudiantes,Vélez,2024-06-02,Libertadores de América,Penal,9',Sí,Gol,Espinoza,penal entre Estudiantes y Vélez al minuto 9'
Sarmiento,Rosario Central,2024-05-05,Nuevo Gasómetro,Mano,80',Sí,Penal,Tello,mano entre Sarmiento y Rosario Central al minuto 80'
Sarmiento,San Lorenzo,2024-12-09,Monumental,Sujeción,85',Sí,Amarilla,Espinoza,sujeción entre Sarmiento y San Lorenzo al minuto 85'
Godoy Cruz,Racing,2024-02-17,La Bombonera,Codazo,11',Sí,Gol,Pitana,codazo entre Godoy Cruz y Racing al minuto 11'
Gimnasia,San Lorenzo,2024-07-26,Monumental,Gol,63',Sí,Amarilla,Merlos,gol entre Gimnasia y San Lorenzo al minuto 63'
Lanús,Banfield,2024-07-14,Libertadores de América,Córner,37',Sí,No gol,Baliño,córner entre Lanús y Banfield al minuto 37'
Colón,Gimnasia,2024-08-27,Libertadores de América,Mano,51',Sí,Roja,Loustau,mano entre Colón y Gimnasia al minuto 51'
Newell's,Estudiantes,2024-12-07,Cilindro,Mano,15',Sí,Sin falta,Dovalo,mano entre Newell's y Estudiantes al minuto 15'
Lanús,Argentinos,2024-05-09,Libertadores de América,Offside,84',Sí,Amarilla,Tello,offside entre Lanús y Argentinos al minuto 84'
Boca Juniors,Gimnasia,2024-06-23,Monumental,Codazo,23',Sí,No gol,Dovalo,codazo entre Boca Juniors y Gimnasia al minuto 23'
Estudiantes,Racing,2024-06-15,La Bombonera,Sujeción,31',Sí,Roja,Tello,sujeción entre Estudiantes y Racing al minuto 31'
Godoy Cruz,Colón,2024-10-13,Monumental,Codazo,55',Sí,Penal,Echenique,codazo entre Godoy Cruz y Colón al minuto 55'
Arsenal,Huracán,2024-02-16,Monumental,Codazo,35',Sí,Amarilla,Baliño,codazo entre Arsenal y Huracán al minuto 35'
Banfield,San Lorenzo,2024-01-10,Libertadores de América,Falta,57',Sí,Amarilla,Baliño,falta entre Banfield y San Lorenzo al minuto 57'
Sarmiento,River Plate,2024-04-14,Cilindro,Sujeción,65',Sí,Penal,Abal,sujeción entre Sarmiento y River Plate al minuto 65'
Gimnasia,Independiente,2024-08-22,Cilindro,Penal,58',Sí,Tiro libre,Merlos,penal entre Gimnasia y Independiente al minuto 58'
Arsenal,Estudiantes,2024-04-13,La Bombonera,Córner,8',Sí,Tiro libre,Abal,córner entre Arsenal y Estudiantes al minuto 8'
Arsenal,Newell's,2024-11-28,La Bombonera,Penal,11',Sí,No gol,Tello,penal entre Arsenal y Newell's al minuto 11'
Newell's,Banfield,2024-05-14,Monumental,Entrada violenta,0',Sí,Tiro libre,Merlos,entrada violenta entre Newell's y Banfield al minuto 0'
Gimnasia,Colón,2024-12-08,Cilindro,Gol,78',Sí,Roja,Dovalo,gol entre Gimnasia y Colón al minuto 78'
Estudiantes,Lanús,2024-01-28,Libertadores de América,Offside,24',Sí,Roja,Abal,offside entre Estudiantes y Lanús al minuto 24'
Racing,Argentinos,2024-10-16,Cilindro,Mano,31',Sí,Sin falta,Pitana,mano entre Racing y Argentinos al minuto 31'
Lanús,Vélez,2024-11-11,Monumental,Mano,30',Sí,Amarilla,Merlos,mano entre Lanús y Vélez al minuto 30'
Rosario Central,Estudiantes,2024-02-25,Nuevo Gasómetro,Mano,55',Sí,Tiro libre,Baliño,mano entre Rosario Central y Estudiantes al minuto 55'
Boca Juniors,Independiente,2024-01-08,Cilindro,Falta,67',Sí,Gol,Dovalo,falta entre Boca Juniors y Independiente al minuto 67'
Talleres,Estudiantes,2024-10-15,Libertadores de América,Sujeción,4',Sí,Gol,Espinoza,sujeción entre Talleres y Estudiantes al minuto 4'
Estudiantes,San Lorenzo,2024-04-08,Cilindro,Penal,44',Sí,Roja,Merlos,penal entre Estudiantes y San Lorenzo al minuto 44'
Banfield,Platense,2024-09-27,Nuevo Gasómetro,Gol,38',Sí,Penal,Espinoza,gol entre Banfield y Platense al minuto 38'
San Lorenzo,Racing,2024-04-04,Nuevo Gasómetro,Córner,55',Sí,Amarilla,Baliño,córner entre San Lorenzo y Racing al minuto 55'
Newell's,Independiente,2024-04-19,Nuevo Gasómetro,Offside,11',Sí,No gol,Pitana,offside entre Newell's y Independiente al minuto 11'
Estudiantes,River Plate,2024-06-08,Monumental,Offside,58',Sí,Penal,Abal,offside entre Estudiantes y River Plate al minuto 58'
Newell's,Banfield,2024-04-24,Nuevo Gasómetro,Sujeción,7',Sí,Penal,Tello,sujeción entre Newell's y Banfield al minuto 7'
Argentinos,Talleres,2024-06-20,Monumental,Sujeción,80',Sí,Amarilla,Baliño,sujeción entre Argentinos y Talleres al minuto 80'
Estudiantes,Huracán,2024-11-03,Monumental,Penal,13',Sí,Sin falta,Tello,penal entre Estudiantes y Huracán al minuto 13'
Estudiantes,Banfield,2024-08-22,Nuevo Gasómetro,Simulación,83',Sí,Penal,Rapallini,simulación entre Estudiantes y Banfield al minuto 83'
Estudiantes,Colón,2024-11-13,Libertadores de América,Simulación,3',Sí,Penal,Tello,simulación entre Estudiantes y Colón al minuto 3'
Sarmiento,Platense,2024-05-10,La Bombonera,Gol,78',Sí,Roja,Abal,gol entre Sarmiento y Platense al minuto 78'
Godoy Cruz,Newell's,2024-06-21,Monumental,Penal,47',Sí,Gol,Loustau,penal entre Godoy Cruz y Newell's al minuto 47'
Sarmiento,Platense,2024-06-08,Cilindro,Penal,61',Sí,Amarilla,Espinoza,penal entre Sarmiento y Platense al minuto 61'
Gimnasia,Huracán,2024-11-07,Cilindro,Simulación,42',Sí,Roja,Pitana,simulación entre Gimnasia y Huracán al minuto 42'
Platense,Colón,2024-01-25,Monumental,Mano,68',Sí,Penal,Espinoza,mano entre Platense y Colón al minuto 68'
Independiente,Gimnasia,2024-07-06,Libertadores de América,Penal,48',Sí,Gol,Merlos,penal entre Independiente y Gimnasia al minuto 48'
